genre,true_effect,estimated_effect,posterior_sd,ci_lower,ci_upper,error,abs_error,covered
Genre_0,0.5993428306022466,0.46030649893781683,0.10304706914675187,0.2517283521280482,0.6506111762711287,-0.13903633166442975,0.13903633166442975,True
Genre_1,0.4723471397657631,0.39909835668816,0.10832137135449398,0.18582408458583854,0.605233909380975,-0.07324878307760307,0.07324878307760307,True
Genre_2,0.6295377076201385,0.6720068640238795,0.0931027425573068,0.4918982113070564,0.861543399746744,0.04246915640374105,0.04246915640374105,True
Genre_3,0.804605971281605,0.7309285792552712,0.09986261814664943,0.5431164361083233,0.933332309826433,-0.07367739202633383,0.07367739202633383,True
Genre_4,0.4531693250553328,0.5275214168442245,0.09745233947994078,0.32815681116647877,0.710544784722036,0.07435209178889168,0.07435209178889168,True
Genre_5,0.4531726086101639,0.5946042636903061,0.09490377334227845,0.4025637475993856,0.7802061464778198,0.14143165508014216,0.14143165508014216,True
Genre_6,0.8158425631014783,0.7681702931894127,0.10394222321094086,0.574525807791063,0.9790560354513368,-0.047672269912065635,0.047672269912065635,True
Genre_7,0.6534869458305818,0.6382856677478922,0.09860486747570645,0.4473627594046807,0.8382563809605934,-0.015201278082689562,0.015201278082689562,True
Genre_8,0.4061051228130096,0.5451166070619692,0.09104208292448729,0.36594695199296545,0.7229559269510514,0.1390114842489596,0.1390114842489596,True
Genre_9,0.6085120087171929,0.6940846806784121,0.0935239187887686,0.5171559475994594,0.8872038954809559,0.0855726719612192,0.0855726719612192,True
